Ticker,Score,Grado,Vol. anual,Autocorr 5d,Tendencia R²,Sil. avg,Rev. score,WR +10d,Sharpe est.,Sharpe B&H,Días,Error
KMB,71,✓✓,22.1%,-0.017,0.43,—,—,—,—,—,2094,
GIS,71,✓✓,22.9%,+0.029,0.36,—,—,—,—,—,2094,
CPB,71,✓✓,26.2%,-0.008,0.01,—,—,—,—,—,2094,
SJM,71,✓✓,25.1%,-0.001,0.32,—,—,—,—,—,2094,
CAG,71,✓✓,27.5%,+0.008,0.04,—,—,—,—,—,2094,
PFE,71,✓✓,25.3%,+0.014,0.01,—,—,—,—,—,2094,
BDX,71,✓✓,24.7%,-0.005,0.00,—,—,—,—,—,2094,
AMT,71,✓✓,27.5%,+0.022,0.20,—,—,—,—,—,2094,
CCI,71,✓✓,27.3%,+0.026,0.00,—,—,—,—,—,2094,
HSY,63,✓ ,23.8%,+0.027,0.67,—,—,—,—,—,2094,
MKC,63,✓ ,25.4%,+0.090,0.09,—,—,—,—,—,2094,
MO,63,✓ ,24.1%,+0.011,0.62,—,—,—,—,—,2094,
BTI,63,✓ ,24.9%,+0.042,0.46,—,—,—,—,—,2094,
ES,63,✓ ,25.9%,+0.043,0.08,—,—,—,—,—,2094,
MDT,63,✓ ,24.2%,+0.050,0.04,—,—,—,—,—,2094,
BMY,63,✓ ,25.1%,+0.036,0.16,—,—,—,—,—,2094,
ZTS,63,✓ ,27.5%,+0.031,0.41,—,—,—,—,—,2094,
AVB,63,✓ ,26.3%,+0.029,0.41,—,—,—,—,—,2094,
TLT,63,✓ ,15.5%,+0.051,0.32,—,—,—,—,—,2094,
CSCO,63,✓ ,26.9%,-0.016,0.68,—,—,—,—,—,2094,
SPG,60,✓ ,39.9%,-0.049,0.28,—,—,—,—,—,2094,
KO,58,✓ ,24.1%,-0.028,0.85,—,—,—,—,—,1302,
AES,58,✓ ,38.4%,+0.016,0.07,—,—,—,—,—,2094,
MMM,58,✓ ,28.3%,+0.010,0.00,—,—,—,—,—,2094,
PG,56,✓ ,20.0%,+0.015,0.82,—,—,—,—,—,2094,
CL,56,✓ ,20.4%,+0.025,0.79,—,—,—,—,—,2094,
PM,56,✓ ,25.9%,+0.020,0.82,—,—,—,—,—,2094,
AEP,56,✓ ,22.0%,+0.011,0.78,—,—,—,—,—,2094,
JNJ,56,✓ ,19.5%,+0.019,0.76,—,—,—,—,—,2094,
ABT,56,✓ ,24.7%,-0.001,0.71,—,—,—,—,—,2094,
MRK,56,✓ ,23.6%,+0.017,0.75,—,—,—,—,—,2094,
HON,56,✓ ,24.9%,+0.027,0.75,—,—,—,—,—,2094,
GLD,56,✓ ,16.6%,-0.017,0.81,—,—,—,—,—,2094,
NEE,55,✓ ,27.1%,+0.078,0.65,—,—,—,—,—,2094,
D,55,✓ ,25.0%,+0.063,0.02,—,—,—,—,—,2094,
XEL,55,✓ ,22.9%,+0.033,0.67,—,—,—,—,—,2094,
PPL,55,✓ ,24.1%,-0.004,0.67,—,—,—,—,—,2094,
O,55,✓ ,27.4%,+0.033,0.44,—,—,—,—,—,2094,
WPC,55,✓ ,27.5%,+0.074,0.41,—,—,—,—,—,2094,
EQR,55,✓ ,26.5%,+0.056,0.21,—,—,—,—,—,2094,
MAA,55,✓ ,25.5%,-0.010,0.53,—,—,—,—,—,2094,
IWM,55,✓ ,24.6%,+0.051,0.65,—,—,—,—,—,2094,
IEF,54,✓ ,6.9%,+0.022,0.00,—,—,—,—,—,2094,
AFL,53,✓ ,27.5%,-0.066,0.86,—,—,—,—,—,2094,
ABBV,51,✓ ,27.0%,+0.019,0.91,—,—,—,—,—,2094,
AMGN,51,✓ ,25.5%,+0.011,0.90,—,—,—,—,—,2094,
BRK-B,51,✓ ,20.6%,+0.023,0.92,—,—,—,—,—,2094,
V,51,✓ ,25.9%,+0.018,0.91,—,—,—,—,—,2094,
PGR,51,✓ ,26.0%,-0.016,0.96,—,—,—,—,—,2094,
FAST,51,✓ ,27.4%,+0.027,0.94,—,—,—,—,—,2094,
QQQ,51,✓ ,23.9%,+0.028,0.91,—,—,—,—,—,2094,
ELV,50,✓ ,32.7%,+0.029,0.51,—,—,—,—,—,2094,
NNN,50,✓ ,30.1%,+0.020,0.36,—,—,—,—,—,2094,
COLD,50,✓ ,31.4%,+0.065,0.10,—,—,—,—,—,2082,
WFC,50,✓ ,34.2%,+0.057,0.40,—,—,—,—,—,2094,
USB,50,✓ ,32.5%,+0.049,0.09,—,—,—,—,—,2094,
META,50,✓ ,41.9%,+0.004,0.63,—,—,—,—,—,2094,
INTC,50,✓ ,46.4%,+0.044,0.29,—,—,—,—,—,2094,
BTC-USD,50,✓ ,52.3%,-0.003,0.63,—,—,—,—,—,2192,
PEP,48,~ ,20.9%,+0.058,0.71,—,—,—,—,—,2094,
WEC,48,~ ,22.9%,+0.004,0.73,—,—,—,—,—,2094,
IBM,48,~ ,27.3%,+0.038,0.77,—,—,—,—,—,2094,
FE,47,~ ,26.2%,+0.087,0.59,—,—,—,—,—,2094,
VNQ,47,~ ,22.2%,+0.058,0.59,—,—,—,—,—,2094,
TSLA,46,~ ,66.4%,-0.024,0.39,—,—,—,—,—,1508,
SHOP,46,~ ,61.2%,+0.016,0.48,—,—,—,—,—,2094,
COIN,46,~ ,85.0%,-0.009,0.10,—,—,—,—,—,1269,
PEG,43,~ ,23.0%,+0.066,0.86,—,—,—,—,—,2094,
CI,43,~ ,32.5%,+0.006,0.78,—,—,—,—,—,2094,
TRV,43,~ ,26.3%,+0.063,0.86,—,—,—,—,—,2094,
EMR,43,~ ,30.7%,+0.019,0.84,—,—,—,—,—,2094,
ITW,43,~ ,25.2%,+0.045,0.87,—,—,—,—,—,2094,
DOV,43,~ ,27.7%,+0.053,0.86,—,—,—,—,—,2094,
ROK,43,~ ,33.0%,+0.005,0.77,—,—,—,—,—,2094,
WM,43,~ ,20.7%,+0.071,0.95,—,—,—,—,—,2094,
RSG,43,~ ,20.2%,+0.094,0.97,—,—,—,—,—,2094,
XLV,43,~ ,17.5%,+0.054,0.90,—,—,—,—,—,2094,
QCOM,43,~ ,39.5%,+0.011,0.74,—,—,—,—,—,2094,
PLD,42,~ ,28.5%,+0.061,0.70,—,—,—,—,—,2094,
BAC,42,~ ,31.8%,+0.050,0.61,—,—,—,—,—,2094,
ACN,42,~ ,28.2%,+0.036,0.59,—,—,—,—,—,2094,
EXC,40,~ ,25.0%,+0.121,0.79,—,—,—,—,—,2094,
SRE,40,~ ,26.5%,+0.059,0.84,—,—,—,—,—,2094,
ETR,40,~ ,25.4%,+0.057,0.77,—,—,—,—,—,2094,
STAG,40,~ ,27.8%,+0.114,0.78,—,—,—,—,—,2094,
XLF,40,~ ,23.5%,+0.052,0.83,—,—,—,—,—,2094,
MA,38,~ ,28.5%,-0.012,0.91,—,—,—,—,—,2094,
AAPL,38,~ ,30.6%,+0.017,0.90,—,—,—,—,—,2094,
MSFT,38,~ ,28.6%,+0.027,0.92,—,—,—,—,—,2094,
GOOGL,38,~ ,31.0%,-0.003,0.88,—,—,—,—,—,2094,
NVDA,38,~ ,50.7%,+0.017,0.92,—,—,—,—,—,2094,
ETH-USD,38,~ ,71.0%,+0.002,0.61,—,—,—,—,—,3043,
DUK,35,~ ,21.5%,+0.068,0.88,—,—,—,—,—,2094,
SO,35,~ ,23.1%,+0.056,0.94,—,—,—,—,—,2094,
BSX,35,~ ,28.5%,+0.039,0.79,—,—,—,—,—,2094,
CB,35,~ ,25.3%,+0.094,0.90,—,—,—,—,—,2094,
SPY,35,~ ,20.8%,+0.063,0.85,—,—,—,—,—,1507,
VYM,35,~ ,17.6%,+0.067,0.92,—,—,—,—,—,2094,
SCHD,35,~ ,18.0%,+0.066,0.90,—,—,—,—,—,2094,
XLP,35,~ ,15.6%,+0.044,0.93,—,—,—,—,—,2094,
XLU,35,~ ,20.3%,+0.072,0.89,—,—,—,—,—,2094,
XLI,35,~ ,21.4%,+0.066,0.89,—,—,—,—,—,2094,
DIA,35,~ ,18.9%,+0.069,0.93,—,—,—,—,—,2094,
TXN,35,~ ,32.8%,+0.081,0.80,—,—,—,—,—,2094,
AMD,31,~ ,55.2%,+0.012,0.81,—,—,—,—,—,2094,
AXP,30,~ ,33.7%,+0.001,0.87,—,—,—,—,—,2094,
GWW,30,~ ,28.9%,+0.034,0.94,—,—,—,—,—,2094,
PH,30,~ ,33.6%,+0.056,0.92,—,—,—,—,—,2094,
CTAS,30,~ ,28.0%,+0.026,0.95,—,—,—,—,—,2094,
ADI,30,~ ,34.2%,+0.057,0.93,—,—,—,—,—,2094,
VICI,27,✗ ,30.3%,+0.031,0.84,—,—,—,—,—,2094,
JPM,27,✗ ,28.8%,+0.072,0.82,—,—,—,—,—,2094,
K,0,✗ ,0.0%,+0.000,0.00,—,—,—,—,—,0,Sin datos
