Ticker,Score,Grado,Vol. anual,Autocorr 5d,Tendencia R²,Sil. avg,Rev. score,WR +10d,Sharpe est.,Sharpe B&H,Días,Error
GIS,71,✓✓,22.9%,+0.030,0.32,—,—,—,—,—,2111,
CPB,71,✓✓,26.2%,-0.009,0.00,—,—,—,—,—,2111,
CAG,71,✓✓,27.5%,+0.008,0.06,—,—,—,—,—,2111,
SJM,71,✓✓,25.1%,-0.001,0.31,—,—,—,—,—,2111,
PFE,71,✓✓,25.3%,+0.015,0.01,—,—,—,—,—,2111,
BDX,71,✓✓,24.9%,+0.002,0.00,—,—,—,—,—,2111,
AMT,71,✓✓,27.5%,+0.022,0.20,—,—,—,—,—,2111,
CCI,71,✓✓,27.3%,+0.024,0.00,—,—,—,—,—,2111,
HSY,63,✓ ,23.8%,+0.027,0.67,—,—,—,—,—,2111,
MKC,63,✓ ,25.4%,+0.093,0.06,—,—,—,—,—,2111,
MO,63,✓ ,24.2%,+0.004,0.63,—,—,—,—,—,2111,
BTI,63,✓ ,25.0%,+0.042,0.48,—,—,—,—,—,2111,
ES,63,✓ ,25.8%,+0.042,0.08,—,—,—,—,—,2111,
ABT,63,✓ ,24.7%,-0.002,0.68,—,—,—,—,—,2111,
MDT,63,✓ ,24.2%,+0.051,0.04,—,—,—,—,—,2111,
BMY,63,✓ ,25.0%,+0.036,0.16,—,—,—,—,—,2111,
EQR,63,✓ ,26.5%,+0.057,0.21,—,—,—,—,—,2111,
TLT,63,✓ ,15.5%,+0.050,0.32,—,—,—,—,—,2111,
CSCO,63,✓ ,27.3%,-0.009,0.67,—,—,—,—,—,2111,
SPG,60,✓ ,39.8%,-0.050,0.29,—,—,—,—,—,2111,
KO,58,✓ ,24.1%,-0.028,0.85,—,—,—,—,—,1302,
AES,58,✓ ,38.2%,+0.016,0.07,—,—,—,—,—,2111,
ZTS,58,✓ ,29.0%,+0.016,0.36,—,—,—,—,—,2111,
MMM,58,✓ ,28.3%,+0.011,0.00,—,—,—,—,—,2111,
CL,56,✓ ,20.4%,+0.025,0.79,—,—,—,—,—,2111,
PG,56,✓ ,20.0%,+0.013,0.81,—,—,—,—,—,2111,
PM,56,✓ ,26.0%,+0.022,0.83,—,—,—,—,—,2111,
AEP,56,✓ ,22.1%,+0.014,0.78,—,—,—,—,—,2111,
JNJ,56,✓ ,19.5%,+0.018,0.76,—,—,—,—,—,2111,
MRK,56,✓ ,23.7%,+0.015,0.75,—,—,—,—,—,2111,
HON,56,✓ ,24.9%,+0.026,0.75,—,—,—,—,—,2111,
GLD,56,✓ ,16.7%,-0.017,0.82,—,—,—,—,—,2111,
NEE,55,✓ ,27.1%,+0.076,0.66,—,—,—,—,—,2111,
D,55,✓ ,25.1%,+0.063,0.01,—,—,—,—,—,2111,
XEL,55,✓ ,22.9%,+0.032,0.67,—,—,—,—,—,2111,
PPL,55,✓ ,24.1%,-0.002,0.68,—,—,—,—,—,2111,
O,55,✓ ,27.3%,+0.032,0.45,—,—,—,—,—,2111,
WPC,55,✓ ,27.4%,+0.074,0.42,—,—,—,—,—,2111,
MAA,55,✓ ,25.4%,-0.009,0.53,—,—,—,—,—,2111,
AVB,55,✓ ,26.2%,+0.031,0.41,—,—,—,—,—,2111,
IWM,55,✓ ,24.5%,+0.048,0.66,—,—,—,—,—,2111,
IEF,54,✓ ,6.9%,+0.022,0.00,—,—,—,—,—,2111,
AFL,53,✓ ,27.5%,-0.064,0.87,—,—,—,—,—,2111,
ABBV,51,✓ ,26.9%,+0.018,0.91,—,—,—,—,—,2111,
AMGN,51,✓ ,25.5%,+0.011,0.90,—,—,—,—,—,2111,
BRK-B,51,✓ ,20.6%,+0.021,0.92,—,—,—,—,—,2111,
V,51,✓ ,25.8%,+0.016,0.91,—,—,—,—,—,2111,
PGR,51,✓ ,26.0%,-0.015,0.95,—,—,—,—,—,2111,
FAST,51,✓ ,27.3%,+0.026,0.94,—,—,—,—,—,2111,
QQQ,51,✓ ,23.8%,+0.028,0.91,—,—,—,—,—,2111,
ELV,50,✓ ,32.6%,+0.030,0.51,—,—,—,—,—,2111,
NNN,50,✓ ,30.0%,+0.020,0.37,—,—,—,—,—,2111,
COLD,50,✓ ,32.0%,+0.059,0.11,—,—,—,—,—,2099,
WFC,50,✓ ,34.2%,+0.057,0.41,—,—,—,—,—,2111,
USB,50,✓ ,32.4%,+0.047,0.10,—,—,—,—,—,2111,
META,50,✓ ,41.8%,+0.004,0.63,—,—,—,—,—,2111,
INTC,50,✓ ,47.0%,+0.037,0.21,—,—,—,—,—,2111,
BTC-USD,50,✓ ,52.3%,-0.003,0.63,—,—,—,—,—,2192,
PEP,48,~ ,20.9%,+0.061,0.71,—,—,—,—,—,2111,
WEC,48,~ ,22.8%,+0.004,0.73,—,—,—,—,—,2111,
IBM,48,~ ,27.6%,+0.042,0.77,—,—,—,—,—,2111,
FE,47,~ ,26.2%,+0.087,0.60,—,—,—,—,—,2111,
VNQ,47,~ ,22.1%,+0.057,0.60,—,—,—,—,—,2111,
TSLA,46,~ ,66.4%,-0.024,0.39,—,—,—,—,—,1508,
SHOP,46,~ ,61.4%,+0.018,0.48,—,—,—,—,—,2111,
COIN,46,~ ,84.8%,-0.008,0.10,—,—,—,—,—,1286,
PEG,43,~ ,23.0%,+0.065,0.86,—,—,—,—,—,2111,
CI,43,~ ,32.5%,+0.005,0.78,—,—,—,—,—,2111,
TRV,43,~ ,26.2%,+0.062,0.87,—,—,—,—,—,2111,
ITW,43,~ ,25.1%,+0.044,0.87,—,—,—,—,—,2111,
EMR,43,~ ,30.8%,+0.015,0.84,—,—,—,—,—,2111,
DOV,43,~ ,27.7%,+0.051,0.86,—,—,—,—,—,2111,
ROK,43,~ ,33.1%,+0.001,0.78,—,—,—,—,—,2111,
CTAS,43,~ ,28.0%,+0.026,0.95,—,—,—,—,—,2111,
WM,43,~ ,20.7%,+0.070,0.95,—,—,—,—,—,2111,
RSG,43,~ ,20.2%,+0.089,0.97,—,—,—,—,—,2111,
XLV,43,~ ,17.4%,+0.054,0.90,—,—,—,—,—,2111,
QCOM,43,~ ,40.5%,+0.007,0.75,—,—,—,—,—,2111,
BAC,42,~ ,31.8%,+0.050,0.62,—,—,—,—,—,2111,
ACN,42,~ ,28.3%,+0.033,0.55,—,—,—,—,—,2111,
EXC,40,~ ,24.9%,+0.121,0.79,—,—,—,—,—,2111,
SRE,40,~ ,26.5%,+0.057,0.85,—,—,—,—,—,2111,
ETR,40,~ ,25.4%,+0.056,0.78,—,—,—,—,—,2111,
STAG,40,~ ,27.7%,+0.112,0.78,—,—,—,—,—,2111,
XLF,40,~ ,23.4%,+0.052,0.83,—,—,—,—,—,2111,
MA,38,~ ,28.5%,-0.014,0.90,—,—,—,—,—,2111,
MSFT,38,~ ,28.5%,+0.025,0.92,—,—,—,—,—,2111,
GOOGL,38,~ ,30.9%,-0.002,0.88,—,—,—,—,—,2111,
AAPL,38,~ ,30.5%,+0.019,0.90,—,—,—,—,—,2111,
NVDA,38,~ ,50.6%,+0.016,0.92,—,—,—,—,—,2111,
ETH-USD,38,~ ,70.7%,+0.003,0.60,—,—,—,—,—,3069,
DUK,35,~ ,21.5%,+0.069,0.89,—,—,—,—,—,2111,
SO,35,~ ,23.1%,+0.056,0.94,—,—,—,—,—,2111,
BSX,35,~ ,28.9%,+0.036,0.78,—,—,—,—,—,2111,
PLD,35,~ ,28.4%,+0.059,0.70,—,—,—,—,—,2111,
CB,35,~ ,25.2%,+0.093,0.91,—,—,—,—,—,2111,
SPY,35,~ ,20.8%,+0.063,0.85,—,—,—,—,—,1507,
VYM,35,~ ,17.5%,+0.065,0.92,—,—,—,—,—,2111,
SCHD,35,~ ,18.0%,+0.065,0.91,—,—,—,—,—,2111,
XLU,35,~ ,20.3%,+0.071,0.89,—,—,—,—,—,2111,
XLP,35,~ ,15.6%,+0.043,0.93,—,—,—,—,—,2111,
XLI,35,~ ,21.3%,+0.063,0.89,—,—,—,—,—,2111,
DIA,35,~ ,18.9%,+0.068,0.93,—,—,—,—,—,2111,
TXN,35,~ ,32.8%,+0.079,0.81,—,—,—,—,—,2111,
AMD,31,~ ,55.7%,+0.010,0.81,—,—,—,—,—,2111,
AXP,30,~ ,33.6%,+0.000,0.88,—,—,—,—,—,2111,
PH,30,~ ,33.5%,+0.057,0.92,—,—,—,—,—,2111,
GWW,30,~ ,28.9%,+0.036,0.94,—,—,—,—,—,2111,
ADI,30,~ ,34.3%,+0.054,0.93,—,—,—,—,—,2111,
VICI,27,✗ ,30.2%,+0.031,0.84,—,—,—,—,—,2111,
JPM,27,✗ ,28.8%,+0.070,0.82,—,—,—,—,—,2111,
KMB,0,✗ ,0.0%,+0.000,0.00,—,—,—,—,—,0,Sin datos
K,0,✗ ,0.0%,+0.000,0.00,—,—,—,—,—,0,Sin datos
