Ticker,Score,Grado,Vol. anual,Autocorr 5d,Tendencia R²,Sil. avg,Rev. score,WR +10d,Sharpe est.,Sharpe B&H,Días,Error
KMB,71,✓✓,22.3%,-0.020,0.37,—,—,—,—,—,2157,
GIS,71,✓✓,23.3%,+0.017,0.23,—,—,—,—,—,2157,
CPB,71,✓✓,26.5%,-0.015,0.00,—,—,—,—,—,2157,
SJM,71,✓✓,25.5%,-0.011,0.31,—,—,—,—,—,2157,
CAG,71,✓✓,27.8%,-0.001,0.10,—,—,—,—,—,2157,
PFE,71,✓✓,25.2%,+0.012,0.01,—,—,—,—,—,2157,
BDX,71,✓✓,25.0%,+0.000,0.01,—,—,—,—,—,2157,
AMT,71,✓✓,27.6%,+0.016,0.18,—,—,—,—,—,2157,
CCI,71,✓✓,27.6%,+0.020,0.00,—,—,—,—,—,2157,
HSY,63,✓ ,24.1%,+0.024,0.66,—,—,—,—,—,2157,
MKC,63,✓ ,25.6%,+0.082,0.03,—,—,—,—,—,2157,
MO,63,✓ ,24.4%,-0.001,0.65,—,—,—,—,—,2157,
D,63,✓ ,25.0%,+0.064,0.00,—,—,—,—,—,2157,
ES,63,✓ ,25.8%,+0.041,0.10,—,—,—,—,—,2157,
ABT,63,✓ ,25.0%,-0.000,0.64,—,—,—,—,—,2157,
MDT,63,✓ ,24.4%,+0.047,0.03,—,—,—,—,—,2157,
BMY,63,✓ ,25.2%,+0.032,0.18,—,—,—,—,—,2157,
EQR,63,✓ ,26.4%,+0.056,0.23,—,—,—,—,—,2157,
TLT,63,✓ ,15.4%,+0.051,0.33,—,—,—,—,—,2157,
CSCO,63,✓ ,27.5%,-0.014,0.66,—,—,—,—,—,2157,
SPG,60,✓ ,39.5%,-0.049,0.33,—,—,—,—,—,2157,
KO,58,✓ ,24.1%,-0.028,0.85,—,—,—,—,—,1302,
AES,58,✓ ,37.8%,+0.016,0.07,—,—,—,—,—,2157,
ZTS,58,✓ ,28.9%,+0.016,0.24,—,—,—,—,—,2157,
MMM,58,✓ ,28.2%,+0.012,0.00,—,—,—,—,—,2157,
ACN,58,✓ ,29.8%,+0.029,0.43,—,—,—,—,—,2157,
PG,56,✓ ,20.1%,+0.007,0.80,—,—,—,—,—,2157,
CL,56,✓ ,20.6%,+0.014,0.80,—,—,—,—,—,2157,
PM,56,✓ ,26.1%,+0.018,0.84,—,—,—,—,—,2157,
AEP,56,✓ ,22.1%,+0.011,0.79,—,—,—,—,—,2157,
JNJ,56,✓ ,19.7%,+0.006,0.76,—,—,—,—,—,2157,
MRK,56,✓ ,23.8%,+0.008,0.77,—,—,—,—,—,2157,
GLD,56,✓ ,16.9%,-0.014,0.83,—,—,—,—,—,2157,
PEP,55,✓ ,21.0%,+0.050,0.69,—,—,—,—,—,2157,
BTI,55,✓ ,25.1%,+0.032,0.51,—,—,—,—,—,2157,
NEE,55,✓ ,26.9%,+0.078,0.67,—,—,—,—,—,2157,
XEL,55,✓ ,22.9%,+0.031,0.69,—,—,—,—,—,2157,
O,55,✓ ,27.2%,+0.031,0.47,—,—,—,—,—,2157,
WPC,55,✓ ,27.3%,+0.072,0.45,—,—,—,—,—,2157,
MAA,55,✓ ,25.3%,-0.012,0.52,—,—,—,—,—,2157,
AVB,55,✓ ,26.1%,+0.031,0.41,—,—,—,—,—,2157,
IWM,55,✓ ,24.4%,+0.050,0.68,—,—,—,—,—,2157,
IEF,54,✓ ,6.9%,+0.023,0.00,—,—,—,—,—,2157,
AFL,53,✓ ,27.3%,-0.065,0.87,—,—,—,—,—,2157,
ABBV,51,✓ ,27.0%,+0.019,0.92,—,—,—,—,—,2157,
AMGN,51,✓ ,25.5%,+0.012,0.91,—,—,—,—,—,2157,
BRK-B,51,✓ ,20.4%,+0.020,0.92,—,—,—,—,—,2157,
V,51,✓ ,25.7%,+0.016,0.91,—,—,—,—,—,2157,
PGR,51,✓ ,26.3%,-0.015,0.95,—,—,—,—,—,2157,
FAST,51,✓ ,27.3%,+0.027,0.95,—,—,—,—,—,2157,
QQQ,51,✓ ,23.9%,+0.022,0.92,—,—,—,—,—,2157,
NNN,50,✓ ,29.8%,+0.018,0.40,—,—,—,—,—,2157,
COLD,50,✓ ,32.2%,+0.059,0.13,—,—,—,—,—,2145,
WFC,50,✓ ,34.0%,+0.058,0.44,—,—,—,—,—,2157,
USB,50,✓ ,32.2%,+0.047,0.14,—,—,—,—,—,2157,
META,50,✓ ,42.0%,+0.007,0.65,—,—,—,—,—,2157,
INTC,50,✓ ,48.3%,+0.031,0.08,—,—,—,—,—,2157,
BTC-USD,50,✓ ,52.3%,-0.003,0.63,—,—,—,—,—,2192,
WEC,48,~ ,22.8%,+0.002,0.75,—,—,—,—,—,2157,
PPL,48,~ ,24.0%,-0.003,0.70,—,—,—,—,—,2157,
HON,48,~ ,25.3%,+0.034,0.77,—,—,—,—,—,2157,
FE,47,~ ,26.0%,+0.084,0.62,—,—,—,—,—,2157,
VNQ,47,~ ,22.0%,+0.056,0.62,—,—,—,—,—,2157,
TSLA,46,~ ,66.4%,-0.024,0.39,—,—,—,—,—,1508,
COIN,46,~ ,84.3%,-0.006,0.09,—,—,—,—,—,1332,
SHOP,46,~ ,61.3%,+0.023,0.49,—,—,—,—,—,2157,
PEG,43,~ ,22.9%,+0.064,0.87,—,—,—,—,—,2157,
CI,43,~ ,32.4%,+0.003,0.77,—,—,—,—,—,2157,
TRV,43,~ ,26.3%,+0.064,0.87,—,—,—,—,—,2157,
CB,43,~ ,25.3%,+0.089,0.91,—,—,—,—,—,2157,
ITW,43,~ ,25.1%,+0.042,0.88,—,—,—,—,—,2157,
DOV,43,~ ,27.8%,+0.040,0.87,—,—,—,—,—,2157,
ROK,43,~ ,33.1%,+0.000,0.79,—,—,—,—,—,2157,
WM,43,~ ,20.8%,+0.065,0.95,—,—,—,—,—,2157,
RSG,43,~ ,20.3%,+0.084,0.96,—,—,—,—,—,2157,
XLV,43,~ ,17.5%,+0.050,0.90,—,—,—,—,—,2157,
QCOM,43,~ ,41.2%,-0.015,0.76,—,—,—,—,—,2157,
ELV,42,~ ,32.8%,+0.031,0.50,—,—,—,—,—,2157,
BAC,42,~ ,31.6%,+0.050,0.64,—,—,—,—,—,2157,
EXC,40,~ ,24.9%,+0.118,0.80,—,—,—,—,—,2157,
ETR,40,~ ,25.3%,+0.055,0.79,—,—,—,—,—,2157,
STAG,40,~ ,27.7%,+0.110,0.79,—,—,—,—,—,2157,
XLF,40,~ ,23.2%,+0.052,0.84,—,—,—,—,—,2157,
MA,38,~ ,28.4%,-0.014,0.90,—,—,—,—,—,2157,
EMR,38,~ ,30.8%,+0.017,0.85,—,—,—,—,—,2157,
CTAS,38,~ ,28.2%,+0.023,0.95,—,—,—,—,—,2157,
AAPL,38,~ ,30.6%,+0.011,0.90,—,—,—,—,—,2157,
MSFT,38,~ ,29.2%,+0.022,0.91,—,—,—,—,—,2157,
GOOGL,38,~ ,31.2%,-0.000,0.88,—,—,—,—,—,2157,
NVDA,38,~ ,50.5%,+0.017,0.93,—,—,—,—,—,2157,
ETH-USD,38,~ ,70.3%,+0.002,0.59,—,—,—,—,—,3137,
DUK,35,~ ,21.4%,+0.065,0.89,—,—,—,—,—,2157,
SO,35,~ ,23.0%,+0.053,0.95,—,—,—,—,—,2157,
SRE,35,~ ,26.3%,+0.056,0.85,—,—,—,—,—,2157,
BSX,35,~ ,28.9%,+0.035,0.72,—,—,—,—,—,2157,
PLD,35,~ ,28.4%,+0.059,0.71,—,—,—,—,—,2157,
VICI,35,~ ,30.1%,+0.029,0.83,—,—,—,—,—,2157,
JPM,35,~ ,28.7%,+0.070,0.83,—,—,—,—,—,2157,
SPY,35,~ ,20.8%,+0.063,0.85,—,—,—,—,—,1507,
VYM,35,~ ,17.4%,+0.065,0.93,—,—,—,—,—,2157,
SCHD,35,~ ,17.9%,+0.063,0.91,—,—,—,—,—,2157,
XLP,35,~ ,15.7%,+0.035,0.93,—,—,—,—,—,2157,
XLU,35,~ ,20.2%,+0.070,0.89,—,—,—,—,—,2157,
XLI,35,~ ,21.3%,+0.061,0.90,—,—,—,—,—,2157,
DIA,35,~ ,18.8%,+0.069,0.93,—,—,—,—,—,2157,
IBM,35,~ ,30.1%,+0.038,0.78,—,—,—,—,—,2157,
TXN,35,~ ,33.4%,+0.062,0.81,—,—,—,—,—,2157,
AMD,31,~ ,56.3%,-0.003,0.82,—,—,—,—,—,2157,
AXP,30,~ ,33.5%,+0.004,0.88,—,—,—,—,—,2157,
GWW,30,~ ,28.7%,+0.035,0.95,—,—,—,—,—,2157,
PH,30,~ ,33.4%,+0.055,0.92,—,—,—,—,—,2157,
ADI,30,~ ,34.7%,+0.042,0.92,—,—,—,—,—,2157,
K,0,✗ ,0.0%,+0.000,0.00,—,—,—,—,—,0,Sin datos
