Ticker,Score,Grado,Vol. anual,Autocorr 5d,Tendencia R²,Sil. avg,Rev. score,WR +10d,Sharpe est.,Sharpe B&H,Días,Error
KMB,71,✓✓,22.3%,-0.019,0.37,—,—,—,—,—,2144,
GIS,71,✓✓,23.2%,+0.022,0.25,—,—,—,—,—,2144,
CPB,71,✓✓,26.4%,-0.013,0.00,—,—,—,—,—,2144,
SJM,71,✓✓,25.4%,-0.008,0.31,—,—,—,—,—,2144,
CAG,71,✓✓,27.7%,-0.001,0.08,—,—,—,—,—,2144,
PFE,71,✓✓,25.2%,+0.012,0.01,—,—,—,—,—,2144,
BDX,71,✓✓,24.9%,+0.002,0.01,—,—,—,—,—,2144,
CCI,71,✓✓,27.5%,+0.017,0.00,—,—,—,—,—,2144,
AMT,71,✓✓,27.6%,+0.016,0.18,—,—,—,—,—,2144,
HSY,63,✓ ,24.0%,+0.026,0.66,—,—,—,—,—,2144,
MKC,63,✓ ,25.5%,+0.084,0.04,—,—,—,—,—,2144,
MO,63,✓ ,24.2%,-0.001,0.65,—,—,—,—,—,2144,
ES,63,✓ ,25.8%,+0.043,0.09,—,—,—,—,—,2144,
ABT,63,✓ ,24.8%,-0.000,0.65,—,—,—,—,—,2144,
MDT,63,✓ ,24.4%,+0.047,0.03,—,—,—,—,—,2144,
BMY,63,✓ ,25.2%,+0.032,0.17,—,—,—,—,—,2144,
EQR,63,✓ ,26.4%,+0.057,0.22,—,—,—,—,—,2144,
TLT,63,✓ ,15.4%,+0.051,0.33,—,—,—,—,—,2144,
CSCO,63,✓ ,27.6%,-0.015,0.66,—,—,—,—,—,2144,
SPG,60,✓ ,39.6%,-0.049,0.32,—,—,—,—,—,2144,
KO,58,✓ ,24.1%,-0.028,0.85,—,—,—,—,—,1302,
AES,58,✓ ,37.9%,+0.016,0.07,—,—,—,—,—,2144,
ZTS,58,✓ ,29.0%,+0.016,0.27,—,—,—,—,—,2144,
MMM,58,✓ ,28.2%,+0.011,0.00,—,—,—,—,—,2144,
ACN,58,✓ ,29.5%,+0.028,0.46,—,—,—,—,—,2144,
PG,56,✓ ,20.1%,+0.009,0.81,—,—,—,—,—,2144,
CL,56,✓ ,20.6%,+0.016,0.80,—,—,—,—,—,2144,
PM,56,✓ ,26.0%,+0.021,0.83,—,—,—,—,—,2144,
AEP,56,✓ ,22.1%,+0.014,0.79,—,—,—,—,—,2144,
JNJ,56,✓ ,19.7%,+0.010,0.76,—,—,—,—,—,2144,
MRK,56,✓ ,23.8%,+0.007,0.76,—,—,—,—,—,2144,
GLD,56,✓ ,16.9%,-0.014,0.82,—,—,—,—,—,2144,
PEP,55,✓ ,21.0%,+0.055,0.70,—,—,—,—,—,2144,
BTI,55,✓ ,25.0%,+0.038,0.50,—,—,—,—,—,2144,
NEE,55,✓ ,27.0%,+0.078,0.66,—,—,—,—,—,2144,
D,55,✓ ,25.0%,+0.065,0.00,—,—,—,—,—,2144,
XEL,55,✓ ,22.9%,+0.033,0.69,—,—,—,—,—,2144,
PPL,55,✓ ,24.0%,-0.002,0.69,—,—,—,—,—,2144,
O,55,✓ ,27.3%,+0.031,0.47,—,—,—,—,—,2144,
WPC,55,✓ ,27.4%,+0.072,0.44,—,—,—,—,—,2144,
MAA,55,✓ ,25.4%,-0.010,0.52,—,—,—,—,—,2144,
AVB,55,✓ ,26.2%,+0.032,0.41,—,—,—,—,—,2144,
IWM,55,✓ ,24.4%,+0.050,0.67,—,—,—,—,—,2144,
IEF,54,✓ ,6.9%,+0.023,0.00,—,—,—,—,—,2144,
AFL,53,✓ ,27.4%,-0.065,0.87,—,—,—,—,—,2144,
AMGN,51,✓ ,25.5%,+0.012,0.91,—,—,—,—,—,2144,
ABBV,51,✓ ,27.0%,+0.019,0.91,—,—,—,—,—,2144,
BRK-B,51,✓ ,20.5%,+0.020,0.92,—,—,—,—,—,2144,
V,51,✓ ,25.8%,+0.016,0.91,—,—,—,—,—,2144,
PGR,51,✓ ,26.3%,-0.018,0.95,—,—,—,—,—,2144,
QQQ,51,✓ ,23.9%,+0.023,0.92,—,—,—,—,—,2144,
FAST,51,✓ ,27.3%,+0.028,0.95,—,—,—,—,—,2144,
ELV,50,✓ ,32.8%,+0.027,0.51,—,—,—,—,—,2144,
NNN,50,✓ ,29.9%,+0.019,0.39,—,—,—,—,—,2144,
COLD,50,✓ ,32.1%,+0.060,0.12,—,—,—,—,—,2132,
WFC,50,✓ ,34.1%,+0.059,0.43,—,—,—,—,—,2144,
USB,50,✓ ,32.3%,+0.047,0.13,—,—,—,—,—,2144,
META,50,✓ ,41.9%,+0.007,0.64,—,—,—,—,—,2144,
INTC,50,✓ ,47.9%,+0.031,0.10,—,—,—,—,—,2144,
BTC-USD,50,✓ ,52.3%,-0.003,0.63,—,—,—,—,—,2192,
WEC,48,~ ,22.8%,+0.003,0.74,—,—,—,—,—,2144,
HON,48,~ ,25.2%,+0.032,0.76,—,—,—,—,—,2144,
FE,47,~ ,26.1%,+0.086,0.61,—,—,—,—,—,2144,
VNQ,47,~ ,22.0%,+0.057,0.61,—,—,—,—,—,2144,
TSLA,46,~ ,66.4%,-0.024,0.39,—,—,—,—,—,1508,
SHOP,46,~ ,61.3%,+0.022,0.48,—,—,—,—,—,2144,
COIN,46,~ ,84.3%,-0.008,0.09,—,—,—,—,—,1319,
PEG,43,~ ,22.9%,+0.066,0.87,—,—,—,—,—,2144,
CI,43,~ ,32.4%,+0.002,0.77,—,—,—,—,—,2144,
CB,43,~ ,25.3%,+0.088,0.91,—,—,—,—,—,2144,
EMR,43,~ ,30.7%,+0.014,0.85,—,—,—,—,—,2144,
TRV,43,~ ,26.1%,+0.062,0.87,—,—,—,—,—,2144,
ITW,43,~ ,25.1%,+0.044,0.87,—,—,—,—,—,2144,
DOV,43,~ ,27.7%,+0.049,0.87,—,—,—,—,—,2144,
ROK,43,~ ,33.2%,-0.001,0.79,—,—,—,—,—,2144,
WM,43,~ ,20.7%,+0.068,0.95,—,—,—,—,—,2144,
RSG,43,~ ,20.3%,+0.084,0.96,—,—,—,—,—,2144,
XLV,43,~ ,17.5%,+0.051,0.90,—,—,—,—,—,2144,
QCOM,43,~ ,41.2%,-0.015,0.76,—,—,—,—,—,2144,
BAC,42,~ ,31.6%,+0.050,0.63,—,—,—,—,—,2144,
EXC,40,~ ,24.9%,+0.121,0.80,—,—,—,—,—,2144,
ETR,40,~ ,25.3%,+0.058,0.78,—,—,—,—,—,2144,
STAG,40,~ ,27.6%,+0.112,0.79,—,—,—,—,—,2144,
XLF,40,~ ,23.3%,+0.052,0.84,—,—,—,—,—,2144,
MA,38,~ ,28.4%,-0.013,0.90,—,—,—,—,—,2144,
