Ticker,Score,Grado,Vol. anual,Autocorr 5d,Tendencia R²,Sil. avg,Rev. score,WR +10d,Sharpe est.,Sharpe B&H,Días,Error
KMB,71,✓✓,22.4%,-0.017,0.36,—,—,—,—,—,2171,
GIS,71,✓✓,23.3%,+0.017,0.21,—,—,—,—,—,2171,
CPB,71,✓✓,26.5%,-0.014,0.00,—,—,—,—,—,2171,
CAG,71,✓✓,27.8%,-0.002,0.11,—,—,—,—,—,2171,
SJM,71,✓✓,25.5%,-0.008,0.32,—,—,—,—,—,2171,
PFE,71,✓✓,25.2%,+0.010,0.01,—,—,—,—,—,2171,
BDX,71,✓✓,25.0%,+0.000,0.01,—,—,—,—,—,2171,
AMT,71,✓✓,27.6%,+0.015,0.17,—,—,—,—,—,2171,
CCI,71,✓✓,27.6%,+0.018,0.01,—,—,—,—,—,2171,
HSY,63,✓ ,24.0%,+0.024,0.66,—,—,—,—,—,2171,
MKC,63,✓ ,25.6%,+0.081,0.02,—,—,—,—,—,2171,
MO,63,✓ ,24.4%,+0.002,0.66,—,—,—,—,—,2171,
D,63,✓ ,24.9%,+0.064,0.00,—,—,—,—,—,2171,
ES,63,✓ ,25.7%,+0.041,0.10,—,—,—,—,—,2171,
ABT,63,✓ ,25.0%,-0.002,0.64,—,—,—,—,—,2171,
MDT,63,✓ ,24.4%,+0.048,0.03,—,—,—,—,—,2171,
BMY,63,✓ ,25.2%,+0.031,0.19,—,—,—,—,—,2171,
EQR,63,✓ ,26.4%,+0.055,0.23,—,—,—,—,—,2159,
MAA,63,✓ ,25.3%,-0.011,0.52,—,—,—,—,—,2171,
TLT,63,✓ ,15.4%,+0.051,0.34,—,—,—,—,—,2171,
CSCO,63,✓ ,27.7%,-0.013,0.66,—,—,—,—,—,2171,
SPG,60,✓ ,39.4%,-0.049,0.34,—,—,—,—,—,2171,
KO,58,✓ ,24.1%,-0.028,0.85,—,—,—,—,—,1302,
AES,58,✓ ,37.7%,+0.016,0.06,—,—,—,—,—,2171,
ZTS,58,✓ ,29.1%,+0.013,0.21,—,—,—,—,—,2171,
MMM,58,✓ ,28.2%,+0.014,0.00,—,—,—,—,—,2171,
INTC,58,✓ ,48.4%,+0.025,0.06,—,—,—,—,—,2171,
CL,56,✓ ,20.6%,+0.013,0.80,—,—,—,—,—,2171,
PG,56,✓ ,20.1%,+0.007,0.80,—,—,—,—,—,2171,
PM,56,✓ ,26.1%,+0.019,0.84,—,—,—,—,—,2171,
AEP,56,✓ ,22.0%,+0.011,0.80,—,—,—,—,—,2171,
JNJ,56,✓ ,19.7%,+0.004,0.76,—,—,—,—,—,2171,
MRK,56,✓ ,24.1%,+0.011,0.77,—,—,—,—,—,2171,
GLD,56,✓ ,17.0%,-0.010,0.83,—,—,—,—,—,2171,
PEP,55,✓ ,21.0%,+0.050,0.68,—,—,—,—,—,2171,
BTI,55,✓ ,25.1%,+0.035,0.52,—,—,—,—,—,2171,
NEE,55,✓ ,26.9%,+0.078,0.67,—,—,—,—,—,2171,
XEL,55,✓ ,22.8%,+0.031,0.70,—,—,—,—,—,2171,
O,55,✓ ,27.1%,+0.031,0.48,—,—,—,—,—,2171,
WPC,55,✓ ,27.3%,+0.073,0.46,—,—,—,—,—,2171,
AVB,55,✓ ,26.1%,+0.030,0.41,—,—,—,—,—,2159,
IWM,55,✓ ,24.3%,+0.050,0.69,—,—,—,—,—,2171,
IEF,54,✓ ,6.9%,+0.022,0.00,—,—,—,—,—,2171,
AFL,53,✓ ,27.3%,-0.065,0.88,—,—,—,—,—,2171,
ABBV,51,✓ ,27.0%,+0.018,0.92,—,—,—,—,—,2171,
AMGN,51,✓ ,25.6%,+0.012,0.91,—,—,—,—,—,2171,
BRK-B,51,✓ ,20.4%,+0.019,0.92,—,—,—,—,—,2171,
V,51,✓ ,25.7%,+0.016,0.91,—,—,—,—,—,2171,
PGR,51,✓ ,26.3%,-0.018,0.95,—,—,—,—,—,2171,
FAST,51,✓ ,27.2%,+0.028,0.95,—,—,—,—,—,2171,
QQQ,51,✓ ,23.9%,+0.021,0.92,—,—,—,—,—,2171,
ELV,50,✓ ,32.7%,+0.030,0.50,—,—,—,—,—,2171,
NNN,50,✓ ,29.7%,+0.019,0.41,—,—,—,—,—,2171,
COLD,50,✓ ,32.2%,+0.057,0.14,—,—,—,—,—,2159,
WFC,50,✓ ,34.0%,+0.058,0.45,—,—,—,—,—,2171,
USB,50,✓ ,32.2%,+0.046,0.15,—,—,—,—,—,2171,
META,50,✓ ,42.0%,+0.006,0.65,—,—,—,—,—,2171,
ACN,50,✓ ,29.9%,+0.031,0.40,—,—,—,—,—,2171,
BTC-USD,50,✓ ,52.3%,-0.003,0.63,—,—,—,—,—,2192,
WEC,48,~ ,22.7%,+0.000,0.75,—,—,—,—,—,2171,
PPL,48,~ ,24.0%,-0.004,0.71,—,—,—,—,—,2171,
HON,48,~ ,25.4%,+0.033,0.77,—,—,—,—,—,2171,
FE,47,~ ,26.0%,+0.084,0.63,—,—,—,—,—,2171,
VNQ,47,~ ,22.0%,+0.056,0.62,—,—,—,—,—,2171,
TSLA,46,~ ,66.4%,-0.024,0.39,—,—,—,—,—,1508,
SHOP,46,~ ,61.4%,+0.021,0.49,—,—,—,—,—,2171,
COIN,46,~ ,84.2%,-0.009,0.09,—,—,—,—,—,1346,
PEG,43,~ ,22.9%,+0.064,0.87,—,—,—,—,—,2171,
CI,43,~ ,32.4%,+0.001,0.77,—,—,—,—,—,2171,
TRV,43,~ ,26.3%,+0.064,0.87,—,—,—,—,—,2171,
CB,43,~ ,25.2%,+0.088,0.91,—,—,—,—,—,2171,
ITW,43,~ ,25.1%,+0.044,0.88,—,—,—,—,—,2171,
DOV,43,~ ,27.7%,+0.039,0.87,—,—,—,—,—,2171,
ROK,43,~ ,33.2%,-0.004,0.79,—,—,—,—,—,2171,
WM,43,~ ,20.8%,+0.062,0.95,—,—,—,—,—,2171,
RSG,43,~ ,20.3%,+0.081,0.96,—,—,—,—,—,2171,
XLV,43,~ ,17.5%,+0.049,0.91,—,—,—,—,—,2171,
QCOM,43,~ ,41.3%,-0.017,0.76,—,—,—,—,—,2171,
BAC,42,~ ,31.5%,+0.050,0.65,—,—,—,—,—,2171,
EXC,40,~ ,24.8%,+0.118,0.80,—,—,—,—,—,2171,
ETR,40,~ ,25.3%,+0.055,0.79,—,—,—,—,—,2171,
STAG,40,~ ,27.6%,+0.110,0.79,—,—,—,—,—,2171,
XLF,40,~ ,23.2%,+0.052,0.84,—,—,—,—,—,2171,
MA,38,~ ,28.3%,-0.014,0.90,—,—,—,—,—,2171,
EMR,38,~ ,30.8%,+0.016,0.85,—,—,—,—,—,2171,
CTAS,38,~ ,28.1%,+0.023,0.95,—,—,—,—,—,2171,
AAPL,38,~ ,30.5%,+0.010,0.90,—,—,—,—,—,2171,
MSFT,38,~ ,29.1%,+0.027,0.91,—,—,—,—,—,2171,
GOOGL,38,~ ,31.2%,-0.001,0.88,—,—,—,—,—,2171,
NVDA,38,~ ,50.4%,+0.016,0.93,—,—,—,—,—,2171,
ETH-USD,38,~ ,70.3%,+0.002,0.58,—,—,—,—,—,3155,
DUK,35,~ ,21.4%,+0.065,0.90,—,—,—,—,—,2171,
SO,35,~ ,23.0%,+0.054,0.95,—,—,—,—,—,2171,
SRE,35,~ ,26.4%,+0.057,0.86,—,—,—,—,—,2171,
BSX,35,~ ,29.0%,+0.035,0.70,—,—,—,—,—,2171,
PLD,35,~ ,28.3%,+0.059,0.72,—,—,—,—,—,2171,
VICI,35,~ ,30.1%,+0.029,0.82,—,—,—,—,—,2171,
JPM,35,~ ,28.6%,+0.070,0.83,—,—,—,—,—,2171,
SPY,35,~ ,20.8%,+0.063,0.85,—,—,—,—,—,1507,
SCHD,35,~ ,17.8%,+0.063,0.91,—,—,—,—,—,2171,
