Ticker,Score,Grado,Vol. anual,Autocorr 5d,Tendencia R²,Sil. avg,Rev. score,WR +10d,Sharpe est.,Sharpe B&H,Días,Error
KMB,71,✓✓,22.3%,-0.020,0.37,—,—,—,—,—,2136,
GIS,71,✓✓,23.1%,+0.026,0.26,—,—,—,—,—,2136,
CPB,71,✓✓,26.4%,-0.013,0.00,—,—,—,—,—,2136,
SJM,71,✓✓,25.4%,-0.007,0.31,—,—,—,—,—,2136,
CAG,71,✓✓,27.6%,+0.005,0.08,—,—,—,—,—,2136,
PFE,71,✓✓,25.2%,+0.014,0.01,—,—,—,—,—,2136,
BDX,71,✓✓,24.9%,+0.003,0.00,—,—,—,—,—,2136,
AMT,71,✓✓,27.6%,+0.019,0.19,—,—,—,—,—,2136,
CCI,71,✓✓,27.5%,+0.021,0.00,—,—,—,—,—,2136,
HSY,63,✓ ,24.0%,+0.026,0.67,—,—,—,—,—,2136,
MKC,63,✓ ,25.5%,+0.086,0.04,—,—,—,—,—,2136,
BTI,63,✓ ,25.0%,+0.038,0.49,—,—,—,—,—,2136,
MO,63,✓ ,24.2%,-0.000,0.64,—,—,—,—,—,2136,
ES,63,✓ ,25.8%,+0.042,0.09,—,—,—,—,—,2136,
ABT,63,✓ ,24.8%,+0.000,0.66,—,—,—,—,—,2136,
MDT,63,✓ ,24.4%,+0.046,0.03,—,—,—,—,—,2136,
BMY,63,✓ ,25.1%,+0.037,0.17,—,—,—,—,—,2136,
EQR,63,✓ ,26.4%,+0.056,0.22,—,—,—,—,—,2136,
TLT,63,✓ ,15.5%,+0.051,0.33,—,—,—,—,—,2136,
CSCO,63,✓ ,27.5%,-0.010,0.66,—,—,—,—,—,2136,
SPG,60,✓ ,39.7%,-0.049,0.31,—,—,—,—,—,2136,
KO,58,✓ ,24.1%,-0.028,0.85,—,—,—,—,—,1302,
AES,58,✓ ,38.0%,+0.016,0.07,—,—,—,—,—,2136,
ZTS,58,✓ ,29.0%,+0.017,0.29,—,—,—,—,—,2136,
MMM,58,✓ ,28.2%,+0.011,0.00,—,—,—,—,—,2136,
CL,56,✓ ,20.5%,+0.018,0.80,—,—,—,—,—,2136,
PG,56,✓ ,20.1%,+0.011,0.81,—,—,—,—,—,2136,
PM,56,✓ ,26.0%,+0.020,0.83,—,—,—,—,—,2136,
AEP,56,✓ ,22.1%,+0.013,0.79,—,—,—,—,—,2136,
JNJ,56,✓ ,19.6%,+0.011,0.76,—,—,—,—,—,2136,
MRK,56,✓ ,23.8%,+0.011,0.76,—,—,—,—,—,2136,
HON,56,✓ ,25.2%,+0.027,0.77,—,—,—,—,—,2136,
GLD,56,✓ ,16.9%,-0.013,0.82,—,—,—,—,—,2136,
PEP,55,✓ ,21.0%,+0.060,0.70,—,—,—,—,—,2136,
NEE,55,✓ ,27.0%,+0.077,0.66,—,—,—,—,—,2136,
D,55,✓ ,25.1%,+0.065,0.01,—,—,—,—,—,2136,
XEL,55,✓ ,22.9%,+0.032,0.68,—,—,—,—,—,2136,
PPL,55,✓ ,24.1%,-0.003,0.69,—,—,—,—,—,2136,
O,55,✓ ,27.3%,+0.032,0.46,—,—,—,—,—,2136,
WPC,55,✓ ,27.4%,+0.073,0.44,—,—,—,—,—,2136,
AVB,55,✓ ,26.2%,+0.030,0.41,—,—,—,—,—,2136,
MAA,55,✓ ,25.4%,-0.011,0.52,—,—,—,—,—,2136,
IWM,55,✓ ,24.5%,+0.050,0.67,—,—,—,—,—,2136,
IEF,54,✓ ,6.9%,+0.023,0.00,—,—,—,—,—,2136,
AFL,53,✓ ,27.4%,-0.065,0.87,—,—,—,—,—,2136,
ABBV,51,✓ ,27.1%,+0.021,0.91,—,—,—,—,—,2136,
AMGN,51,✓ ,25.5%,+0.012,0.91,—,—,—,—,—,2136,
BRK-B,51,✓ ,20.5%,+0.021,0.92,—,—,—,—,—,2136,
V,51,✓ ,25.8%,+0.017,0.91,—,—,—,—,—,2136,
PGR,51,✓ ,26.0%,-0.018,0.95,—,—,—,—,—,2136,
FAST,51,✓ ,27.3%,+0.028,0.94,—,—,—,—,—,2136,
QQQ,51,✓ ,23.9%,+0.026,0.92,—,—,—,—,—,2136,
ELV,50,✓ ,32.7%,+0.028,0.51,—,—,—,—,—,2136,
COLD,50,✓ ,32.1%,+0.060,0.12,—,—,—,—,—,2124,
NNN,50,✓ ,29.9%,+0.019,0.39,—,—,—,—,—,2136,
WFC,50,✓ ,34.1%,+0.059,0.42,—,—,—,—,—,2136,
USB,50,✓ ,32.3%,+0.047,0.12,—,—,—,—,—,2136,
META,50,✓ ,41.9%,+0.006,0.64,—,—,—,—,—,2136,
INTC,50,✓ ,47.8%,+0.036,0.12,—,—,—,—,—,2136,
ACN,50,✓ ,29.4%,+0.033,0.48,—,—,—,—,—,2136,
BTC-USD,50,✓ ,52.3%,-0.003,0.63,—,—,—,—,—,2192,
WEC,48,~ ,22.8%,+0.003,0.74,—,—,—,—,—,2136,
FE,47,~ ,26.1%,+0.086,0.61,—,—,—,—,—,2136,
VNQ,47,~ ,22.1%,+0.057,0.61,—,—,—,—,—,2136,
TSLA,46,~ ,66.4%,-0.024,0.39,—,—,—,—,—,1508,
SHOP,46,~ ,61.4%,+0.021,0.48,—,—,—,—,—,2136,
COIN,46,~ ,84.5%,-0.008,0.09,—,—,—,—,—,1311,
PEG,43,~ ,23.0%,+0.066,0.87,—,—,—,—,—,2136,
CI,43,~ ,32.4%,+0.003,0.77,—,—,—,—,—,2136,
TRV,43,~ ,26.2%,+0.062,0.87,—,—,—,—,—,2136,
CB,43,~ ,25.2%,+0.091,0.91,—,—,—,—,—,2136,
EMR,43,~ ,30.8%,+0.015,0.85,—,—,—,—,—,2136,
