Ticker,Score,Grado,Vol. anual,Autocorr 5d,Tendencia R²,Sil. avg,Rev. score,WR +10d,Sharpe est.,Sharpe B&H,Días,Error
KMB,71,✓✓,22.4%,-0.018,0.36,—,—,—,—,—,2181,
GIS,71,✓✓,23.4%,+0.013,0.20,—,—,—,—,—,2181,
CPB,71,✓✓,26.6%,-0.016,0.01,—,—,—,—,—,2181,
SJM,71,✓✓,25.5%,-0.007,0.32,—,—,—,—,—,2181,
CAG,71,✓✓,27.8%,-0.002,0.11,—,—,—,—,—,2181,
PFE,71,✓✓,25.2%,+0.010,0.01,—,—,—,—,—,2181,
BDX,71,✓✓,25.0%,+0.001,0.00,—,—,—,—,—,2181,
AMT,71,✓✓,27.6%,+0.014,0.17,—,—,—,—,—,2181,
CCI,71,✓✓,27.6%,+0.017,0.01,—,—,—,—,—,2181,
HSY,63,✓ ,24.0%,+0.023,0.66,—,—,—,—,—,2181,
MKC,63,✓ ,25.6%,+0.079,0.02,—,—,—,—,—,2181,
MO,63,✓ ,24.4%,-0.001,0.66,—,—,—,—,—,2181,
D,63,✓ ,24.9%,+0.065,0.00,—,—,—,—,—,2181,
ES,63,✓ ,25.7%,+0.040,0.11,—,—,—,—,—,2181,
BMY,63,✓ ,25.1%,+0.031,0.20,—,—,—,—,—,2181,
ABT,63,✓ ,25.0%,-0.002,0.64,—,—,—,—,—,2181,
MDT,63,✓ ,24.4%,+0.048,0.03,—,—,—,—,—,2181,
MAA,63,✓ ,25.2%,-0.012,0.51,—,—,—,—,—,2181,
TLT,63,✓ ,15.3%,+0.050,0.34,—,—,—,—,—,2181,
CSCO,63,✓ ,27.7%,-0.014,0.66,—,—,—,—,—,2181,
SPG,60,✓ ,39.3%,-0.049,0.35,—,—,—,—,—,2181,
KO,58,✓ ,24.1%,-0.028,0.85,—,—,—,—,—,1302,
AES,58,✓ ,37.6%,+0.016,0.06,—,—,—,—,—,2181,
ELV,58,✓ ,32.7%,+0.029,0.50,—,—,—,—,—,2181,
ZTS,58,✓ ,29.1%,+0.016,0.19,—,—,—,—,—,2181,
MMM,58,✓ ,28.1%,+0.013,0.01,—,—,—,—,—,2181,
ACN,58,✓ ,29.9%,+0.029,0.39,—,—,—,—,—,2181,
INTC,58,✓ ,48.3%,+0.024,0.05,—,—,—,—,—,2181,
PG,56,✓ ,20.0%,+0.007,0.80,—,—,—,—,—,2181,
CL,56,✓ ,20.5%,+0.011,0.80,—,—,—,—,—,2181,
PM,56,✓ ,26.0%,+0.018,0.84,—,—,—,—,—,2181,
AEP,56,✓ ,22.0%,+0.012,0.80,—,—,—,—,—,2181,
JNJ,56,✓ ,19.7%,+0.005,0.76,—,—,—,—,—,2181,
MRK,56,✓ ,24.1%,+0.006,0.77,—,—,—,—,—,2181,
GLD,56,✓ ,17.1%,-0.015,0.83,—,—,—,—,—,2181,
PEP,55,✓ ,21.0%,+0.049,0.68,—,—,—,—,—,2181,
BTI,55,✓ ,25.1%,+0.034,0.53,—,—,—,—,—,2181,
NEE,55,✓ ,26.8%,+0.078,0.67,—,—,—,—,—,2181,
O,55,✓ ,27.1%,+0.031,0.49,—,—,—,—,—,2181,
WPC,55,✓ ,27.2%,+0.073,0.46,—,—,—,—,—,2181,
IWM,55,✓ ,24.3%,+0.050,0.69,—,—,—,—,—,2181,
IEF,54,✓ ,6.9%,+0.022,0.00,—,—,—,—,—,2181,
