Ticker,Score,Grado,Vol. anual,Autocorr 5d,Tendencia R²,Sil. avg,Rev. score,WR +10d,Sharpe est.,Sharpe B&H,Días,Error
KMB,71,✓✓,22.4%,-0.015,0.36,—,—,—,—,—,2169,
GIS,71,✓✓,23.3%,+0.016,0.21,—,—,—,—,—,2170,
CPB,71,✓✓,26.5%,-0.014,0.00,—,—,—,—,—,2170,
SJM,71,✓✓,25.5%,-0.009,0.32,—,—,—,—,—,2167,
CAG,71,✓✓,27.8%,-0.002,0.10,—,—,—,—,—,2170,
PFE,71,✓✓,25.2%,+0.010,0.01,—,—,—,—,—,2170,
BDX,71,✓✓,25.0%,+0.005,0.01,—,—,—,—,—,2167,
AMT,71,✓✓,27.6%,+0.011,0.17,—,—,—,—,—,2169,
CCI,71,✓✓,27.6%,+0.017,0.00,—,—,—,—,—,2168,
MKC,63,✓ ,25.6%,+0.085,0.02,—,—,—,—,—,2168,
HSY,63,✓ ,24.0%,+0.027,0.66,—,—,—,—,—,2167,
MO,63,✓ ,24.4%,+0.003,0.66,—,—,—,—,—,2170,
D,63,✓ ,24.9%,+0.064,0.00,—,—,—,—,—,2168,
ES,63,✓ ,25.7%,+0.042,0.10,—,—,—,—,—,2168,
MDT,63,✓ ,24.4%,+0.050,0.03,—,—,—,—,—,2169,
ABT,63,✓ ,25.0%,-0.002,0.64,—,—,—,—,—,2170,
BMY,63,✓ ,25.2%,+0.032,0.19,—,—,—,—,—,2169,
EQR,63,✓ ,26.5%,+0.054,0.23,—,—,—,—,—,2149,
TLT,63,✓ ,15.4%,+0.050,0.34,—,—,—,—,—,2170,
CSCO,63,✓ ,27.7%,-0.013,0.66,—,—,—,—,—,2170,
SPG,60,✓ ,39.4%,-0.048,0.34,—,—,—,—,—,2168,
KO,58,✓ ,24.1%,-0.028,0.85,—,—,—,—,—,1302,
AES,58,✓ ,37.7%,+0.016,0.06,—,—,—,—,—,2169,
ZTS,58,✓ ,29.1%,+0.016,0.21,—,—,—,—,—,2169,
MMM,58,✓ ,28.2%,+0.014,0.00,—,—,—,—,—,2170,
INTC,58,✓ ,48.4%,+0.025,0.06,—,—,—,—,—,2170,
CL,56,✓ ,20.6%,+0.014,0.80,—,—,—,—,—,2169,
PM,56,✓ ,26.1%,+0.020,0.84,—,—,—,—,—,2170,
AEP,56,✓ ,22.0%,+0.012,0.80,—,—,—,—,—,2169,
JNJ,56,✓ ,19.7%,+0.005,0.76,—,—,—,—,—,2170,
MRK,56,✓ ,24.1%,+0.011,0.77,—,—,—,—,—,2170,
HON,56,✓ ,25.4%,+0.030,0.77,—,—,—,—,—,2169,
GLD,56,✓ ,17.0%,-0.011,0.83,—,—,—,—,—,2170,
PEP,55,✓ ,21.0%,+0.050,0.68,—,—,—,—,—,2170,
BTI,55,✓ ,25.2%,+0.041,0.52,—,—,—,—,—,2167,
NEE,55,✓ ,26.9%,+0.078,0.67,—,—,—,—,—,2170,
XEL,55,✓ ,22.8%,+0.032,0.70,—,—,—,—,—,2169,
O,55,✓ ,27.1%,+0.031,0.48,—,—,—,—,—,2170,
WPC,55,✓ ,27.3%,+0.072,0.46,—,—,—,—,—,2167,
AVB,55,✓ ,26.2%,+0.030,0.41,—,—,—,—,—,2148,
MAA,55,✓ ,25.3%,-0.011,0.52,—,—,—,—,—,2167,
IWM,55,✓ ,24.3%,+0.050,0.69,—,—,—,—,—,2170,
IEF,54,✓ ,6.9%,+0.022,0.00,—,—,—,—,—,2169,
AFL,53,✓ ,27.3%,-0.064,0.88,—,—,—,—,—,2168,
AMGN,51,✓ ,25.6%,+0.011,0.91,—,—,—,—,—,2169,
ABBV,51,✓ ,27.0%,+0.018,0.92,—,—,—,—,—,2170,
BRK-B,51,✓ ,20.4%,+0.019,0.92,—,—,—,—,—,2170,
V,51,✓ ,25.7%,+0.016,0.91,—,—,—,—,—,2170,
PGR,51,✓ ,26.3%,-0.022,0.95,—,—,—,—,—,2168,
FAST,51,✓ ,27.2%,+0.027,0.95,—,—,—,—,—,2169,
QQQ,51,✓ ,23.9%,+0.021,0.92,—,—,—,—,—,2170,
ELV,50,✓ ,32.7%,+0.028,0.50,—,—,—,—,—,2167,
NNN,50,✓ ,29.8%,+0.019,0.41,—,—,—,—,—,2168,
COLD,50,✓ ,32.2%,+0.059,0.13,—,—,—,—,—,2155,
WFC,50,✓ ,34.0%,+0.058,0.45,—,—,—,—,—,2169,
USB,50,✓ ,32.2%,+0.047,0.15,—,—,—,—,—,2168,
META,50,✓ ,42.0%,+0.006,0.65,—,—,—,—,—,2170,
BTC-USD,50,✓ ,52.3%,-0.003,0.63,—,—,—,—,—,2192,
ACN,50,✓ ,29.9%,+0.032,0.40,—,—,—,—,—,2170,
WEC,48,~ ,22.7%,+0.000,0.75,—,—,—,—,—,2168,
PPL,48,~ ,24.0%,-0.003,0.70,—,—,—,—,—,2168,
FE,47,~ ,26.0%,+0.085,0.62,—,—,—,—,—,2168,
VNQ,47,~ ,22.0%,+0.058,0.62,—,—,—,—,—,2169,
TSLA,46,~ ,66.4%,-0.024,0.39,—,—,—,—,—,1508,
SHOP,46,~ ,61.5%,+0.021,0.49,—,—,—,—,—,2170,
COIN,46,~ ,84.1%,-0.008,0.09,—,—,—,—,—,1345,
PEG,43,~ ,22.9%,+0.066,0.87,—,—,—,—,—,2168,
CI,43,~ ,32.4%,-0.001,0.77,—,—,—,—,—,2168,
TRV,43,~ ,26.3%,+0.061,0.87,—,—,—,—,—,2169,
CB,43,~ ,25.2%,+0.087,0.91,—,—,—,—,—,2169,
ITW,43,~ ,25.1%,+0.043,0.88,—,—,—,—,—,2168,
DOV,43,~ ,27.7%,+0.048,0.87,—,—,—,—,—,2167,
ROK,43,~ ,33.2%,-0.003,0.79,—,—,—,—,—,2167,
WM,43,~ ,20.7%,+0.063,0.95,—,—,—,—,—,2168,
RSG,43,~ ,20.3%,+0.082,0.96,—,—,—,—,—,2167,
XLV,43,~ ,17.5%,+0.049,0.91,—,—,—,—,—,2170,
QCOM,43,~ ,41.3%,-0.017,0.76,—,—,—,—,—,2170,
BAC,42,~ ,31.5%,+0.050,0.65,—,—,—,—,—,2170,
EXC,40,~ ,24.8%,+0.117,0.80,—,—,—,—,—,2169,
ETR,40,~ ,25.3%,+0.059,0.79,—,—,—,—,—,2168,
STAG,40,~ ,27.7%,+0.111,0.79,—,—,—,—,—,2167,
XLF,40,~ ,23.2%,+0.052,0.84,—,—,—,—,—,2170,
MA,38,~ ,28.3%,-0.014,0.90,—,—,—,—,—,2170,
EMR,38,~ ,30.8%,+0.017,0.85,—,—,—,—,—,2168,
CTAS,38,~ ,28.1%,+0.025,0.95,—,—,—,—,—,2168,
AAPL,38,~ ,30.5%,+0.010,0.90,—,—,—,—,—,2170,
MSFT,38,~ ,29.1%,+0.027,0.91,—,—,—,—,—,2170,
GOOGL,38,~ ,31.2%,-0.001,0.88,—,—,—,—,—,2170,
NVDA,38,~ ,50.4%,+0.016,0.93,—,—,—,—,—,2170,
ETH-USD,38,~ ,70.2%,+0.002,0.58,—,—,—,—,—,3154,
DUK,35,~ ,21.4%,+0.064,0.90,—,—,—,—,—,2168,
SO,35,~ ,23.0%,+0.053,0.95,—,—,—,—,—,2168,
SRE,35,~ ,26.3%,+0.058,0.86,—,—,—,—,—,2168,
BSX,35,~ ,29.0%,+0.035,0.71,—,—,—,—,—,2170,
PLD,35,~ ,28.3%,+0.058,0.72,—,—,—,—,—,2168,
VICI,35,~ ,30.1%,+0.029,0.82,—,—,—,—,—,2170,
JPM,35,~ ,28.6%,+0.070,0.83,—,—,—,—,—,2170,
SPY,35,~ ,20.8%,+0.063,0.85,—,—,—,—,—,1507,
SCHD,35,~ ,17.8%,+0.063,0.91,—,—,—,—,—,2170,
XLP,35,~ ,15.6%,+0.035,0.93,—,—,—,—,—,2170,
XLU,35,~ ,20.1%,+0.070,0.90,—,—,—,—,—,2170,
