Ticker,Score,Grado,Vol. anual,Autocorr 5d,Tendencia R²,Sil. avg,Rev. score,WR +10d,Sharpe est.,Sharpe B&H,Días,Error
KMB,71,✓✓,22.3%,-0.020,0.37,—,—,—,—,—,2151,
GIS,71,✓✓,23.2%,+0.015,0.24,—,—,—,—,—,2151,
CPB,71,✓✓,26.5%,-0.017,0.00,—,—,—,—,—,2151,
SJM,71,✓✓,25.4%,-0.012,0.31,—,—,—,—,—,2151,
CAG,71,✓✓,27.7%,-0.003,0.09,—,—,—,—,—,2151,
PFE,71,✓✓,25.2%,+0.012,0.01,—,—,—,—,—,2151,
BDX,71,✓✓,24.9%,+0.001,0.01,—,—,—,—,—,2151,
AMT,71,✓✓,27.6%,+0.016,0.18,—,—,—,—,—,2151,
CCI,71,✓✓,27.5%,+0.018,0.00,—,—,—,—,—,2151,
HSY,63,✓ ,24.0%,+0.024,0.66,—,—,—,—,—,2151,
MKC,63,✓ ,25.6%,+0.081,0.03,—,—,—,—,—,2151,
MO,63,✓ ,24.2%,-0.001,0.65,—,—,—,—,—,2151,
D,63,✓ ,25.0%,+0.064,0.00,—,—,—,—,—,2151,
ES,63,✓ ,25.8%,+0.042,0.10,—,—,—,—,—,2151,
ABT,63,✓ ,25.0%,-0.000,0.65,—,—,—,—,—,2151,
MDT,63,✓ ,24.4%,+0.048,0.03,—,—,—,—,—,2151,
BMY,63,✓ ,25.2%,+0.031,0.18,—,—,—,—,—,2151,
EQR,63,✓ ,26.4%,+0.057,0.23,—,—,—,—,—,2151,
TLT,63,✓ ,15.4%,+0.051,0.33,—,—,—,—,—,2151,
CSCO,63,✓ ,27.5%,-0.015,0.66,—,—,—,—,—,2151,
SPG,60,✓ ,39.6%,-0.049,0.32,—,—,—,—,—,2151,
KO,58,✓ ,24.1%,-0.028,0.85,—,—,—,—,—,1302,
AES,58,✓ ,37.9%,+0.016,0.07,—,—,—,—,—,2151,
ZTS,58,✓ ,28.9%,+0.016,0.25,—,—,—,—,—,2151,
MMM,58,✓ ,28.2%,+0.010,0.00,—,—,—,—,—,2151,
CL,56,✓ ,20.6%,+0.013,0.80,—,—,—,—,—,2151,
PG,56,✓ ,20.1%,+0.007,0.80,—,—,—,—,—,2151,
PM,56,✓ ,26.1%,+0.019,0.83,—,—,—,—,—,2151,
AEP,56,✓ ,22.1%,+0.013,0.79,—,—,—,—,—,2151,
JNJ,56,✓ ,19.7%,+0.008,0.76,—,—,—,—,—,2151,
MRK,56,✓ ,23.8%,+0.008,0.76,—,—,—,—,—,2151,
GLD,56,✓ ,16.9%,-0.011,0.83,—,—,—,—,—,2151,
PEP,55,✓ ,21.0%,+0.051,0.69,—,—,—,—,—,2151,
BTI,55,✓ ,25.1%,+0.032,0.51,—,—,—,—,—,2151,
NEE,55,✓ ,27.0%,+0.078,0.67,—,—,—,—,—,2151,
XEL,55,✓ ,22.9%,+0.031,0.69,—,—,—,—,—,2151,
PPL,55,✓ ,24.0%,-0.003,0.70,—,—,—,—,—,2151,
O,55,✓ ,27.2%,+0.031,0.47,—,—,—,—,—,2151,
WPC,55,✓ ,27.4%,+0.073,0.45,—,—,—,—,—,2151,
AVB,55,✓ ,26.1%,+0.032,0.41,—,—,—,—,—,2151,
MAA,55,✓ ,25.3%,-0.011,0.52,—,—,—,—,—,2151,
IWM,55,✓ ,24.4%,+0.050,0.68,—,—,—,—,—,2151,
IEF,54,✓ ,6.9%,+0.023,0.00,—,—,—,—,—,2151,
AFL,53,✓ ,27.3%,-0.064,0.87,—,—,—,—,—,2151,
ABBV,51,✓ ,27.0%,+0.019,0.91,—,—,—,—,—,2151,
AMGN,51,✓ ,25.5%,+0.011,0.91,—,—,—,—,—,2151,
BRK-B,51,✓ ,20.4%,+0.021,0.92,—,—,—,—,—,2151,
V,51,✓ ,25.8%,+0.016,0.91,—,—,—,—,—,2151,
PGR,51,✓ ,26.3%,-0.014,0.95,—,—,—,—,—,2151,
FAST,51,✓ ,27.3%,+0.027,0.95,—,—,—,—,—,2151,
QQQ,51,✓ ,23.9%,+0.024,0.92,—,—,—,—,—,2151,
ELV,50,✓ ,32.8%,+0.030,0.50,—,—,—,—,—,2151,
NNN,50,✓ ,29.9%,+0.018,0.40,—,—,—,—,—,2151,
COLD,50,✓ ,32.2%,+0.058,0.13,—,—,—,—,—,2139,
WFC,50,✓ ,34.0%,+0.058,0.43,—,—,—,—,—,2151,
USB,50,✓ ,32.3%,+0.047,0.13,—,—,—,—,—,2151,
META,50,✓ ,41.9%,+0.005,0.65,—,—,—,—,—,2151,
INTC,50,✓ ,48.1%,+0.034,0.09,—,—,—,—,—,2151,
ACN,50,✓ ,29.6%,+0.030,0.44,—,—,—,—,—,2151,
BTC-USD,50,✓ ,52.3%,-0.003,0.63,—,—,—,—,—,2192,
WEC,48,~ ,22.8%,+0.002,0.75,—,—,—,—,—,2151,
HON,48,~ ,25.3%,+0.034,0.76,—,—,—,—,—,2151,
FE,47,~ ,26.0%,+0.085,0.62,—,—,—,—,—,2151,
VNQ,47,~ ,22.0%,+0.056,0.62,—,—,—,—,—,2151,
TSLA,46,~ ,66.4%,-0.024,0.39,—,—,—,—,—,1508,
SHOP,46,~ ,61.2%,+0.022,0.49,—,—,—,—,—,2151,
